Character|Sentence
 Subaru Natsuki |" Sorry... It looks like
I won't get the chance. "
 Subaru Natsuki | Felis! 
 Subaru Natsuki | Please. 
 Felix Argyle | You can resent me for this, Subaru-kun. 
 Felix Argyle | I will, too. 
 Julius Euclius | Felis! 
 Felix Argyle | No one else can do it, can they? 
 Felix Argyle | This is what Subaru-kyun wants! 
 Julius Euclius | But still... 
 Felix Argyle |" You think I did that
because I wanted to? "
 Felix Argyle | To use my power for Crusch-sama, 
 Felix Argyle | the power I swore to our leader, for this?! 
 Subaru Natsuki | Ah, it can't be, it can't be... 
 Subaru Natsuki | Just when I'd found such a perfect vessel... 
 Julius Euclius |" My lack of virtue was what forced this
undesirable decision on you and Felis. "
 Subaru Natsuki |" Just when the Ordeal's completion
was at hand... "
 Julius Euclius | One day, I'm sure I will be punished. 
 Subaru Natsuki | I will never die... 
 Ricardo | Boy? 
 Subaru Natsuki | This can't be... 
 Ricardo | What's wrong? 
 Felix Argyle | You were spaced out, so I had to pick on you. 
 Felix Argyle | Nyow that was a satisfying reaction! 
 Subaru Natsuki | Felis? 
 Felix Argyle | Who else do I look like? 
 Felix Argyle |" Did you inhale too much of
the White Whale's fog? "
 Subaru Natsuki | Uh, no... I'm fine. 
 Subaru Natsuki | That told me what I wanted to know. 
 Subaru Natsuki | That means... 
 Subaru Natsuki | My save point was updated? 
 Subaru Natsuki | There are a few new things 
 Subaru Natsuki | I've realized about the Witch's Cult. 
 Subaru Natsuki | Does anyone know of, like... 
 Subaru Natsuki |" a power you can use to overwrite
someone's consciousness, "
 Subaru Natsuki | so you psychologically possess them? 
 Julius Euclius | In other words, 
 Julius Euclius |" you think the Sin Archbishops
may have such an ability? "
 Subaru Natsuki |" Yeah, I call it ""possession."" "
 Subaru Natsuki | It's how he stays alive. 
 Subaru Natsuki |" It would explain how he keeps
popping up everywhere, right? "
 Julius Euclius |" In an old book, I saw a research
account of a similar subject. "
 Julius Euclius | It's a magic that has been lost, 
 Julius Euclius |" but the technique only works
under certain conditions. "
 Subaru Natsuki | Conditions? 
 Julius Euclius | Only members of the Witch's Cult, 
 Julius Euclius | and only a limited number of those, 
 Julius Euclius | are thought capable of it. 
 Felix Argyle | And those would be the fingers? 
 Julius Euclius | Most likely, they are the user's spare bodies. 
 Julius Euclius | It's quite a tasteless arrangement. 
 Julius Euclius |" I suppose one might call it
worthy of a Sin Archbishop. "
 Subaru Natsuki | So if the Sin Archbishop's confidants, 
 Subaru Natsuki | the fingers, were wiped out... 
 Julius Euclius | If that happened, 
 Julius Euclius | his soul would have nowhere to go. 
 Julius Euclius | And that would be the end of him. 
 Julius Euclius |" We should first eliminate the
fingers in the forest, "
 Julius Euclius | and then face Sloth directly. 
 Julius Euclius | That is my conclusion. 
 Subaru Natsuki | Guys, I need to say one more thing... 
 Subaru Natsuki |" Sorry, but I don't think
it's only the fingers. "
 Subaru Natsuki | I think he may be able to possess me, too... 
 Subaru Natsuki | What do you think I should do? 
 Ricardo | Huh? 
 Bordeaux | Filthy woman! 
 Priscilla Barielle | Then, will you also apologize for being born? 
 Priscilla Barielle | You silver-haired half-elf. 
 Priscilla Barielle |" Margrave Mathers endorses
a half-devil? Utter foolishness! "
 Rickert | This is a joke! 
 Emilia | You know, I had hopes for you. 
 Bordeaux | Filthy woman! 
 Emilia | I thought maybe you... 
 Emilia |" That only you wouldn't give
me special treatment. "
 Subaru Natsuki | I can't do that. 
 Subaru Natsuki | I can't look at you the way I look at others. 
 Subaru Natsuki | It's impossible. 
 Emilia | I have no connection to the witch... 
 Priscilla Barielle | You silver-haired half-elf. 
 Bordeaux | Margrave Mathers endorses a half-devil? 
 Puck | Lia... 
 Puck | Your forehead is all wrinkled. 
 Emilia | Good morning, Puck. 
 Emilia | You're early today. 
 Puck | Morning, Lia. 
 Puck |" I thought I'd try going to sleep
and waking up earlier. "
 Puck | That's a lie. 
 Puck | The truth is that I was worried about you. 
 Puck | You've had it rough lately. 
 Puck | Especially yesterday... 
 Emilia | It was nothing I didn't know already. 
 Puck | Even if you know you'll fall, 
 Puck | when it happens, you still hurt and bleed. 
 Emilia | What do you think I should do, Puck? 
 Emilia | No, not just me... 
 Emilia |" How can I be better to everyone,
and have them be better to me? "
 Puck | I think you should do what you want. 
 Puck | I'll be on your side, no matter what you do. 
 Puck | And no matter what, 
 Puck | you can't abandon that village, right? 
 Puck |" Early this morning,
Ram headed out there again. "
 Puck | Maybe we should wait to hear from her. 
 Puck | I'm going to check on Betty. 
 Emilia | Oh... Okay. 
 Emilia | Tell her hello for me. 
 Emilia | Ram? 
 Ram | Emilia-sama, you have a visitor. 
 Emilia | You are... 
 Emilia | from Crusch-sama's household, aren't you? 
 Wilhelm van Astrea | I am Wilhelm Trias. 
 Wilhelm van Astrea | I have come on my master's behalf. 
 Emilia | On Crusch-sama's behalf? 
 Emilia |" I received a blank letter
from her yesterday... "
 Wilhelm van Astrea | I see, so it was true. 
 Wilhelm van Astrea | While this shames me to say, 
 Wilhelm van Astrea |" the letter contradicted the message
my master wished to send. "
 Emilia | Oh... It was a mistake, then? 
 Wilhelm van Astrea | Yes, Emilia-sama and Ram-dono... 
 Wilhelm van Astrea | We would like to evacuate those remaining 
 Wilhelm van Astrea | in the mansion, along with the villagers. 
 Wilhelm van Astrea | That is Crusch-sama's will. 
 Emilia | What? 
 Emilia | There's a ring of criminals near the forest? 
 Ram | Yes. 
 Ram | The punitive force this messenger brought 
 Ram | already prepares to fight the enemy. 
 Emilia |" But why would Crusch-sama do
so much to help this domain? "
 Wilhelm van Astrea | The margrave sent my master a proposal 
 Wilhelm van Astrea |" for an alliance with respect
to the royal selection. "
 Wilhelm van Astrea |" The condition is a share of the
mining rights in Elior Forest. "
 Wilhelm van Astrea | Do you understand? 
 Emilia | So that's what this is about. 
 Wilhelm van Astrea |" But evacuating all the villagers
to the capital will be difficult. "
 Wilhelm van Astrea | Half of them will go to the capital. 
 Ram |" I will lead the other half to
safety in the Sanctuary. "
 Ram | Roswaal-sama is heading there now. 
 Emilia | O-Oh, I see... 
 Emilia |" Then, discussion on the
matter is already over. "
 Emilia | But isn't there something strange about this? 
 Emilia | It all seems too well-timed— 
 Subaru Natsuki | Pardon me. 
 Subaru Natsuki |" The group hiding in the forest has
been observed moving strangely. "
 Subaru Natsuki | We haven't a moment to waste! 
 Subaru Natsuki |" Once they make their move, the entire
region will be a sea of blood! "
 Subaru Natsuki | What will it be, Captain? 
 Subaru Natsuki | No, Sword Demon Wilhelm-dono? 
 Wilhelm van Astrea | Emilia-sama? 
 Emilia | I understand. 
 Emilia | I gratefully accept your kindness. 
 Emilia | Has this been explained to the villagers? 
 Ram |" They have been informed in a
timely fashion, Emilia-sama. "
 Emilia | I see... 
 Puck | Betty says she'll stay here. 
 Emilia | Puck! 
 Beatrice | Betty can't go. 
 Beatrice | I'll wait for your return, I suppose. 
 Beatrice | You don't have to worry. 
 Puck | That's what she said. 
 Puck | Well, in Betty's case, 
 Puck | the forbidden library is a much safer place. 
 Puck |" Besides, due to her contract,
she can't leave the mansion. "
 Puck | Lia, you know that, right? 
 Emilia | No fair using that as a reason... 
 Puck |" So, since my cute little sister
will be staying here, "
 Puck | we shouldn't do anything to the mansion. 
 Puck | Betty is sweet and kind, 
 Puck | but she'll show no mercy. 
 Wilhelm van Astrea | Understood, Great Spirit. 
 Puck | You should do what you want. 
 Puck | I'm on your side, and yours alone. 
 Emilia | We will evacuate. 
 Emilia | I don't want to endanger the villagers! 
 EXTRA | We're ready, miss. 
 Emilia | Um, I think there's been some kind of mistake. 
 Ram | No, given the number of people and carriages, 
 Ram | we must ask you to ride with these children. 
 Ram | It's a necessary measure. 
 Emilia | Can't we put them in a different carriage? 
 Emilia | That would be better for the children— 
 Subaru Natsuki | You think no one would want to ride with you? 
 Subaru Natsuki |" Have you asked the kids how
they feel about that? "
 Subaru Natsuki | Perhaps you just assume 
 Subaru Natsuki |" that they hate you and wouldn't
want to be around you? "
 Emilia | That isn't... 
 Emilia | I don't need to ask them. 
 Emilia | I know it's best for everyone. 
 Subaru Natsuki | Six children and one dragon-drawn carriage. 
 Subaru Natsuki | If we stumble here, 
 Subaru Natsuki | how will your wish ever come true? 
 Emilia | A-Are you... 
 Subaru Natsuki | What do you think, Petra? 
 Subaru Natsuki |" Do you refuse to ride in the
same carriage as she does? "
 EXTRA | Of course not. 
 EXTRA | Aren't you the lady with the potato stamps? 
 EXTRA |" The one who came with Subaru to
watch our radio calisthenics! "
 Emilia | Well... 
 EXTRA | We couldn't see your face, 
 EXTRA |" but we saw you having a good
time talking with Subaru! "
 EXTRA | Come and ride with us. 
 EXTRA | And me! 
 EXTRA | I wanna ride with you! 
 EXTRA | Come on, let's go! 
 EXTRA | Let's go. 
 EXTRA | Come with us! 
 EXTRA | And it's gonna be pulled by a dragon! 
 EXTRA | That's so cool! 
 Emilia | Ram, take care of things at the Sanctuary. 
 Emilia | Be sure to protect the villagers. 
 Ram | You take care, as well, Emilia-sama. 
 Emilia | I need to thank you, too. 
 Emilia | Where did he go? 
 Subaru Natsuki | Now, I get it... 
 Subaru Natsuki |" We couldn't figure out how
you guys stayed in touch. "
 Subaru Natsuki | Those metia sure are handy, huh? 
 Subaru Natsuki |" You owe a heavy price for
the crime of interrupting "
 Subaru Natsuki | my touching reunion with Emilia! 
 EXTRA | You're... 
 Wilhelm van Astrea | Too slow. 
 Subaru Natsuki | In short, we knew you were a spy. 
 Subaru Natsuki | How we learned is a trade secret. 
 Subaru Natsuki | So we set a trap for you, 
 Subaru Natsuki | the contact for the Witch's Cult. 
 Subaru Natsuki | Two hours. 
 Subaru Natsuki |" You gave your buddies a schedule
that was two hours behind. "
 Subaru Natsuki |" We'll use the time to get Emilia
and the others away, "
 Subaru Natsuki | crush the fingers that know our location, 
 Subaru Natsuki |" and make preparations to
crush your Sin Archbishop. "
 Subaru Natsuki |" Having your enemy a step ahead,
ready to destroy you... "
 Subaru Natsuki |" You're about to learn just
how terrifying that is. "
 Emilia | May the blessing of the spirits be with you. 
 Wilhelm van Astrea | Good luck. 
 Felix Argyle |" This is what enabled you to trick
Emilia-sama and chase her off? "
 Subaru Natsuki | Don't put it that way... 
 Subaru Natsuki | Even if it's accurate, it makes me sound bad! 
 Julius Euclius | That robe was woven with quite an odd spell. 
 Subaru Natsuki | It was handmade by Roswaal. 
 Subaru Natsuki |" Apparently, a spell is woven into
it that prevents recognition. "
 Subaru Natsuki | Originally, it was Emilia's... 
 Subaru Natsuki | I didn't steal it, okay? 
 Felix Argyle | Hmm... 
 Felix Argyle |" Well, the plan to correct the mistake
with the blank letter worked out! "
 Ram |" ""The letter was a
mistake... It was my fault""? "
 Felix Argyle |" And you worked so hard to convince
the villagers, Subaru-kyun ... "
 Subaru Natsuki | Please! 
 Subaru Natsuki |" Emilia's... She's a girl who will
be friends with all of you, "
 Subaru Natsuki |" so I want you to give her the
chance to convince you! "
 Subaru Natsuki | I'm sure everyone has a lot you'd like to say, 
 Subaru Natsuki |" but please let us protect you long
enough that you get that chance! "
 EXTRA | Jeez, you really are hopeless, Subaru-sama. 
 EXTRA | If you insist on protecting us so much, 
 EXTRA | what choice do we have? 
 EXTRA | Getting old is just awful. 
 EXTRA | I think my tear glands have weakened. 
 Subaru Natsuki | Thank you all... 
 EXTRA | We should be thanking you, Subaru-sama. 
 Felix Argyle | You actually moved me. 
 Subaru Natsuki | Don't bring it back up! It's embarrassing! 
 Felix Argyle | That just leaves... 
 Felix Argyle | Welcome back! How did it go? 
 Ricardo |" We pulled off a surprise attack
on the ones our location was leaked to. "
 Ricardo | If I messed up, I'll retire. 
 Ricardo | The map did a nice job showin' the way. 
 Subaru Natsuki |" Then the mark on the map
really was their base! "
 Ricardo |" I dunno if you'd call 'em fastidious or
high-strung, but it worked against 'em. "
 Ricardo | And we got what we were after. 
 Ricardo |" This should shut down their
communications network. "
 Mimi Pearlbaton | Hooray! We killed 'em all! 
 Tivey | Don't say that. It makes us sound awful. 
 Tivey | We took a prisoner, too! 
 Subaru Natsuki | A prisoner? 
 Subaru Natsuki | He isn't in the Witch's Cult... 
 Subaru Natsuki |" I wondered why you hadn't
shown up. You were caught? "
 Otto Suwen |" I don't know who you are,
but thanks for saving me. "
 Otto Suwen |" Actually, I'm really in no mood to
say and mean that, damn it! "
 Julius Euclius | Everything is ready. 
 Julius Euclius | Subaru, we can leave at any time. 
 Subaru Natsuki | Let's do this, everyone. 
 Subaru Natsuki | We'll begin as planned. 
 Subaru Natsuki | Now... 
 Subaru Natsuki | This time, we'll finish it! 
 Subaru Natsuki |" Let us show both Fate and
Sloth what we can do! "
 Petelgeuse Romanee-Conti | I've been waiting for you, believer in love. 
 Petelgeuse Romanee-Conti |" I am a Sin Archbishop of the Witch's
Cult, representing Sloth... "
 Petelgeuse Romanee-Conti | Betelgeuse Romanée-Conti! 
 Subaru Natsuki | Pleasure to meet you, great Sin Archbishop. 
 Subaru Natsuki |" If you could find it within you to add my
body and soul to your fingers' ranks, "
 Subaru Natsuki |" carrying out the Ordeal, there would
be no greater honor. "
 Petelgeuse Romanee-Conti | How wondrous, how vivacious your faith is! 
 Petelgeuse Romanee-Conti | To think there was such a devout believer. 
 Petelgeuse Romanee-Conti |" Please forgive my sloth,
for failing to find him. "
 Petelgeuse Romanee-Conti |" Forgive me! Forgive me! Forgive me!
Forgive me! Forgive me! "
 Subaru Natsuki | Please stop, Archbishop. 
 Petelgeuse Romanee-Conti | Ah... But, but, but... 
 Petelgeuse Romanee-Conti |" I have no way to atone for my sloth
and foolishness but by punishment. "
 Subaru Natsuki | That's not true. 
 Subaru Natsuki |" The witch wouldn't want to see
her beloved believer in pain. "
 Subaru Natsuki |" She would be happier to see
you carry out the Ordeal! "
 Petelgeuse Romanee-Conti | You are exactly right... 
 Petelgeuse Romanee-Conti | Yes, the Ordeal. 
 Petelgeuse Romanee-Conti | What she needs from me now is the Ordeal! 
 Petelgeuse Romanee-Conti | Your words have opened my eyes. 
 Petelgeuse Romanee-Conti | Thank you! Thank you! 
